Sydney Wind Farm,Sydney,Sydney,Australia,9988776655,-33.865143,151.2099
Melbourne Wind Park,Melbourne,Melbourne,Australia,3344556677,-37.8136,144.9631
Brisbane Wind Farm,Brisbane,Brisbane,Australia,6677889900,-27.4698,153.0251
Perth Wind Park,Perth,Perth,Australia,2233445566,-31.9505,115.8605
Adelaide Wind Farm,Adelaide,Adelaide,Australia,1122334455,-34.9285,138.6007
Rio de Janeiro Wind Farm,Rio de Janeiro,Rio de Janeiro,Brazil,7788990011,-22.9068,-43.1729
Sao Paulo Wind Park,Sao Paulo,Sao Paulo,Brazil,2211334455,-23.5505,-46.6333
Brasilia Wind Farm,Brasilia,Brasilia,Brazil,3344556677,-15.8267,-47.9218
Salvador Wind Park,Salvador,Salvador,Brazil,4455667788,-12.9714,-38.5014
Manaus Wind Farm,Manaus,Manaus,Brazil,1122334455,-3.119,-60.0217
Beijing Wind Park,Beijing,Beijing,China,3344556677,39.9042,116.4074
Shanghai Wind Farm,Shanghai,Shanghai,China,4455667788,31.2304,121.4737
Guangzhou Wind Park,Guangzhou,Guangzhou,China,1122334455,23.1291,113.2644
Chengdu Wind Farm,Chengdu,Chengdu,China,3344556677,30.5728,104.0668
Hangzhou Wind Park,Hangzhou,Hangzhou,China,5566778899,30.2741,120.1551
Paris Wind Farm,Paris,Paris,France,1122334455,48.8566,2.3522
Lyon Wind Park,Lyon,Lyon,France,5544332211,45.764,4.8357
Marseille Wind Farm,Marseille,Marseille,France,9988776655,43.2965,5.3698
Toulouse Wind Park,Toulouse,Toulouse,France,2233445566,43.6047,1.4442
Nice Wind Farm,Nice,Nice,France,6677889900,43.7102,7.262
Berlin Wind Farm,Berlin,Berlin,Germany,1122334455,52.52,13.405
Hamburg Wind Park,Hamburg,Hamburg,Germany,3344556677,53.5511,9.9937
Munich Wind Farm,Munich,Munich,Germany,5566778899,48.1351,11.582
Frankfurt Wind Park,Frankfurt,Frankfurt,Germany,7788990011,50.1109,8.6821
Stuttgart Wind Farm,Stuttgart,Stuttgart,Germany,2211334455,48.7758,9.1829
Kutch Wind Farm,Kutch,Gujarat,India,9916972701,23.7337,69.8597
Muppandal Wind Farm,Kanyakumari,Tamil Nadu,India,9916972701,8.0883,77.5385
Jaisalmer Wind Park,Jaisalmer,Rajasthan,India,8787878787,26.9124,70.9164
Brahmanvel windfarm,Dhule,Maharashtra,India,7412587410,20.9016,74.7774
Kayathar windfarm,Thoothukodi,Tamilnadu,India,9916972701,8.8055,78.1456
Dhalgaon windfarm,Sangli,Maharashtra,India,9916972701,16.8544,74.5642
Vankusawade Wind Park,Satara ,Maharashtra,India,9916972701,17.6852,73.9933
Tuljapur windfarm,Osmanabad,Maharashtra,India,9916972701,18.184,76.0389
Sipla windfarm,Jaisalmer,Rajasthan,India,9916972701,26.9124,70.9164
Saeame windfarm,Jamnagar,Gujarat,India,9916972701,22.4707,70.0577
Beluguppa Wind Park,Beluguppa,Andhra Pradesh,India,9916972701,15.7783,77.6245
Mamatkheda Wind Park,Mamatkheda,Madhya Pradesh,India,9916972701,26.5235,78.7464
Anantapur Wind Park,Nimbagallu,Andhra Pradesh,India,9916972701,15.797,78.0343
Damanjodi Wind Power,Damanjodi,Odisha,India,9916972701,18.773,82.5215
Saundatti,Belgaum,Karnataka,India,9916972701,15.8497,74.4977
Acciona,Chitradurga,Karnataka,India,9916972701,14.2226,76.4004
Dangiri Wind Farm,Jaiselmer,Rajasthan,India,9916972701,26.9124,70.9164
Nuziveedu Seeds,Bhimasamudra,Karnataka,India,9916972701,15.7576,76.7601
Khandke,Ahmednagar,Maharashtra,India,9916972701,19.0952,74.7496
Narmada,Nallakonda,Andhra Pradesh,India,9916972701,15.5066,78.1312
Bercha Wind Park,Ratlam,Madhya Pradesh,India,9916972701,23.3315,75.0405
Harapanahalli,Davanagere,Karnataka,India,9916972701,14.4644,75.9213
Cape Comorin,Kanyakumari,Tamil Nadu,India,9916972701,8.0883,77.5385
Dedan,Sawarkundla,Gujarat,India,9916972701,21.344,71.297
Shalivahana Wind,Tirupur,Tamil Nadu,India,9916972701,11.1075,77.3398
Tokyo Wind Park,Tokyo,Tokyo,Japan,3344556677,35.6895,139.6917
Osaka Wind Farm,Osaka,Osaka,Japan,8899001122,34.6937,135.5023
Kyoto Wind Park,Kyoto,Kyoto,Japan,1122334455,35.0116,135.7681
Yokohama Wind Farm,Yokohama,Yokohama,Japan,5566778899,35.4437,139.638
Sapporo Wind Park,Sapporo,Sapporo,Japan,2211334455,43.0618,141.3545
Madrid Wind Park,Madrid,Madrid,Spain,7788990011,40.4168,3.7038
Barcelona Wind Farm,Barcelona,Barcelona,Spain,1122334455,41.3851,2.1734
Valencia Wind Park,Valencia,Valencia,Spain,6677889900,39.4699,0.3763
Seville Wind Farm,Seville,Seville,Spain,3344556677,37.3886,5.9826
Zaragoza Wind Park,Zaragoza,Zaragoza,Spain,4455667788,41.6488,0.8891
Vestas WindFarm,Gale,Colombo,Sri Lanka,8147368747,37.0894,15.2933
London Wind Park,London,England,England,1234567890,51.5074,0.1278
Manchester Wind Farm,Manchester,England,England,9876543210,53.4808,2.2426
Birmingham Wind Park,Birmingham,England,England,5678901234,52.4862,1.8904
Liverpool Wind Farm,Liverpool,England,England,3456789012,53.4084,2.9916
Leeds Wind Park,Leeds,England,England,6789012345,53.8008,1.5491
Canada Wind farm,Glasco,Mexico,Canada,852146237,56.4907,4.2026
